batch_id,customer_id,start_ts,end_ts,moisture,bean_size,sugar_content,density,harvest_year,roasting_time,water_mist
B-109362,990e7ae9-e726-4436-a5ca-8f33c82a8a57,2023-01-10T12:24:21.089Z,2023-01-10T12:35:11.241Z,9.851133141799908,klein,6.363032766759117,1.1259676029255878,2023,10.835877331813975,0
B-261572,6c6f51da-2fe8-4523-a85c-ab405a3b9206,2023-01-10T12:40:11.241Z,2023-01-10T12:52:59.127Z,11.241344195101355,mittel,8.636046155274475,1.126969081139143,2023,12.798088281293053,1
B-859336,69081392-0368-4d21-a2b8-d04606ee0bf4,2023-01-10T12:57:59.127Z,2023-01-10T13:07:20.717Z,10.355402001866508,mittel,9.174704765012994,0.9980052808124144,2023,9.359845624525397,0
B-933812,bd2aeac5-f54c-4ee5-9c66-9ad4e82cdc59,2023-01-10T13:12:20.717Z,2023-01-10T13:23:52.067Z,7.3293112825797975,mittel,6.438654042170405,0.9297880216869205,2022,11.522494795873131,1
B-555777,56de3ce0-b9eb-479c-9cf3-3c59c94c573e,2023-01-10T13:28:52.067Z,2023-01-10T13:43:26.337Z,10.760395702011927,mittel,9.108982282990752,0.9932909894661538,2023,14.571164468723358,0
B-698367,e3183486-6c68-442e-9465-d0764d715763,2023-01-10T13:48:26.337Z,2023-01-10T14:00:19.490Z,11.221171490567647,groß,9.026710879635077,0.8759679372818944,2023,11.885877417137689,0
B-862964,b992fea4-33b5-488c-ac51-d28aebb4fb44,2023-01-10T14:05:19.490Z,2023-01-10T14:17:36.481Z,11.119580895862079,mittel,8.90272787531784,1.083668197307626,2024,12.283191573479765,1
B-689280,1bd794cb-7aa1-427f-a90d-312c481d9d36,2023-01-10T14:22:36.481Z,2023-01-10T14:35:33.512Z,12.161561451109243,groß,9.068928021413948,0.820527380003064,2024,12.950517209434622,1
B-704705,cf1d2268-b220-4d62-9225-ea1dd207600c,2023-01-10T14:40:33.512Z,2023-01-10T14:54:53.992Z,11.667844309097807,mittel,10.033103867480781,0.9208786012988179,2024,14.34132325863532,0
B-133806,3180f770-b008-4775-951e-89ed9a94c012,2023-01-10T14:59:53.992Z,2023-01-10T15:08:35.365Z,10.918360158456874,klein,9.15566107115489,1.190841850571549,2023,8.689550575621134,1
B-849842,7e0135c5-ac8b-41d4-9b21-8058c121f118,2023-01-10T15:13:35.365Z,2023-01-10T15:26:45.507Z,9.859668577082706,klein,8.379753709658964,1.0809700647050173,2022,13.16904810367487,1
B-497036,84ce1ef8-aadc-44be-911b-19c42e4047b3,2023-01-10T15:31:45.507Z,2023-01-10T15:43:13.331Z,6.678078132968017,mittel,5,0.9781922279246258,2022,11.463721721516473,0
B-402375,77fd3865-1c65-44d9-9d3b-a76a5207f120,2023-01-10T15:48:13.331Z,2023-01-10T16:00:33.327Z,10.859236438265171,klein,6.534046230740893,1.1371189757244502,2022,12.333275790623677,0
B-321468,f0bc924f-cb87-42c6-9ebd-beda382ce475,2023-01-10T16:05:33.327Z,2023-01-10T16:19:40.521Z,10.415375374326223,klein,9.429453011214674,1.1465183273349946,2023,14.119900339524753,0
B-977558,c3eaedf2-35d7-463f-8afc-f9dd5f6abf80,2023-01-10T16:24:40.521Z,2023-01-10T16:34:17.219Z,10.543157674390747,groß,7.955688683504193,0.8844582228537168,2022,9.611626697176312,0
B-266760,d2fae981-552c-49d4-b3d9-9ebdb80bad53,2023-01-10T16:39:17.219Z,2023-01-10T16:49:15.702Z,7.446502848359382,groß,5.094426514644385,0.8158182858856806,2024,9.97471111711382,0
B-168399,e1b50ae3-02f2-4899-b1ef-14ded99b18f4,2023-01-10T16:54:15.702Z,2023-01-10T17:02:23.450Z,7.837886919183475,mittel,6.963788447260774,0.9863135373916619,2022,8.129140080572387,0
B-597948,652bc818-2ffc-4c0a-9c42-8f625f486e72,2023-01-10T17:07:23.450Z,2023-01-10T17:18:17.551Z,12.106305706665808,klein,9.293031925413516,1.1492864823525304,2023,10.901682116472447,0
B-725081,7fc2d9cf-ca06-4f71-ba92-25326f6d851c,2023-01-10T17:23:17.551Z,2023-01-10T17:37:57.203Z,9.92088969228669,klein,8.996648137875974,1.1574798978759393,2022,14.660864688757632,1
B-885203,36a167b0-29b9-4c23-aeb7-7dbf93bff693,2023-01-10T17:42:57.203Z,2023-01-10T17:54:42.732Z,11.363001394745249,klein,9.707407065372896,1.154891358735396,2023,11.758825623053061,0
B-291233,d0c40df0-2066-4488-a6b7-57839a3709fe,2023-01-10T17:59:42.732Z,2023-01-10T18:09:01.917Z,10.056636752260923,mittel,8.728878725009217,1.021800288761129,2024,9.31975020869043,0
B-435564,16dab3a7-a7a9-4351-988e-15e6f5c785d4,2023-01-10T18:14:01.917Z,2023-01-10T18:25:03.636Z,10.059512278991491,groß,6.681654111992659,0.8921919754820868,2022,11.028642510849906,0
B-511096,65032936-d616-4fe5-926f-3637cca5facd,2023-01-10T18:30:03.636Z,2023-01-10T18:39:05.092Z,11.876567611951995,mittel,10.713198074947996,1.0196317057825484,2023,9.024276593018755,1
B-535511,abd9681d-de88-47dc-9ad6-4a18de8e22df,2023-01-10T18:44:05.092Z,2023-01-10T18:53:50.070Z,8.967910543565253,klein,7.43557896608606,1.1726792761754607,2023,9.749627796537677,1
B-268710,d741aeab-deef-4100-9be4-e73273337d42,2023-01-10T18:58:50.070Z,2023-01-10T19:11:36.728Z,10.192241553881967,mittel,7.78451610385937,0.9208888416626761,2024,12.777637820527426,0
B-293223,08eb9e75-4d13-40f8-b4c7-18f88b63f0b1,2023-01-10T19:16:36.728Z,2023-01-10T19:26:15.864Z,9.075449422589916,mittel,7.403748005414184,1.002511384958284,2022,9.652253347387942,1
B-191469,7fa27048-4c91-43fb-81bf-3b7080eca63a,2023-01-10T19:31:15.864Z,2023-01-10T19:45:29.380Z,9.131007545135368,mittel,5.528570803209975,1.0239753774000804,2023,14.225268610406603,1
B-161430,ab3791a0-9e23-475e-a71d-7daaa91dc2aa,2023-01-10T19:50:29.380Z,2023-01-10T20:02:20.845Z,9.381655753062722,mittel,7.913977413930849,1.0364470597285225,2022,11.857759418339327,1
B-714557,8459a7c6-7bea-4d67-b15a-926fef2fd2bf,2023-01-10T20:07:20.845Z,2023-01-10T20:19:31.117Z,10.444267543267426,mittel,7.32604252643187,0.9653824612883103,2023,12.17118940788905,1
B-137120,f951daae-0651-4b48-b0fc-bd915a33c811,2023-01-10T20:24:31.117Z,2023-01-10T20:35:57.712Z,9.042502756673045,klein,5.881331919494902,1.1170480362555677,2022,11.443254064784211,0
B-374141,4d4261a7-6023-422d-82cb-b4e7aac6d1f6,2023-01-10T20:40:57.712Z,2023-01-10T20:54:30.454Z,12.511512251147042,klein,8.486850614699744,1.12129496623582,2023,13.545695677087446,0
B-559251,de65bbb7-7293-4f2a-837c-95c399cc00df,2023-01-10T20:59:30.454Z,2023-01-10T21:13:04.433Z,8.210785395560992,groß,7.6813166914387185,0.8768206949945672,2022,13.566319775554021,0
B-954451,4d2ed807-db6e-4e52-9395-d4f0da96c0c0,2023-01-10T21:18:04.433Z,2023-01-10T21:30:44.639Z,9.626256711677282,klein,7.071741975649037,1.2,2023,12.670108703824344,0
B-433064,565f919e-765b-4eca-8b89-695547255d49,2023-01-10T21:35:44.639Z,2023-01-10T21:48:52.414Z,9.12053788345165,klein,8.830158016677819,1.1296269946354198,2023,13.129578211815296,0
B-849579,99a3ef5c-7867-4ee0-b5fc-fbf524f42c67,2023-01-10T21:53:52.414Z,2023-01-10T22:05:26.963Z,12.893955768707466,klein,9.779363151913675,1.1953981156813525,2024,11.575820660159149,1
B-101251,f0a3308c-bd91-475d-97dc-f76637204dee,2023-01-10T22:10:26.963Z,2023-01-10T22:23:32.028Z,10.39310955302315,klein,6.607129684825573,1.1561739904582296,2024,13.084406013818096,0
B-760975,cbe47164-fc30-4f72-9816-7003aa630b75,2023-01-10T22:28:32.028Z,2023-01-10T22:39:51.482Z,12.06368907893727,mittel,8.534426823201157,0.9937857111418782,2024,11.324244449052387,1
B-706917,30409a1f-e7dd-431c-918b-665a4d8b6906,2023-01-10T22:44:51.482Z,2023-01-10T22:56:51.750Z,7.028879253926056,groß,6.858915023147784,0.8394307885091016,2022,12.004463244324803,0
